text,label
Who were the 1974 Oscar winners ?,HUM
"Who is John Macarthur , 1767-1834 ?",HUM
Who plays the cop in the movie `` Kindergarten Cop '' ?,HUM
"What anesthetic did Queen Victoria allow to be used for the birth of her seventh child , in 1853 ?",ENTY
What Asian leader was known as The Little Brown Saint ?,HUM
What sports magazine has the largest circulation ?,ENTY
How do you dunk ?,DESC
How many yards are in 1 mile ?,NUM
Where did the world come from ?,LOC
What do Englishmen weigh themselves in ?,NUM
How many warmup pitches does a reliever get coming into a baseball game ?,NUM
What is La Nina ?,DESC
What is Li 'l Abner 's last name ?,HUM
How many airline schools are there in the U.S. ?,NUM
Hitler came to power in Germany in what year ?,NUM
Who is the son-in-law of Sen. Everett Dirkson who was also a senator in the '70 's ?,HUM
What are the seven virtues ?,DESC
What is the horsepower of the shuttle boosters ?,NUM
Who is Imam Hussain Ben Ali whom Shia people believe in ?,HUM
What was paper made of in the late 16th century ?,ENTY
What are `` darning needles '' and `` horse stingers '' better known as ?,ENTY
What is a geoscientist ?,DESC
Where are zebras most likely found ?,LOC
When was the Parthenon built ?,NUM
What ocean is the largest in the world ?,LOC
What letter does Gorbachev 's middle name start with ?,ENTY
What U.S. state boasts Leif Ericson Park ?,LOC
Name of the lady the Great Gatsby pines for ?,HUM
Where did Ty Cobb grow up ?,LOC
How much does the President get paid ?,NUM
How do you make a million bucks ?,DESC
What made Jane Goodall famous ?,DESC
Name the French historical period during the reign of Napoleon III .,ENTY
Who is the founder of Scientology ?,HUM
What is her husband 's name ?,HUM
How many bones are in the human hand ?,NUM
What composer was awarded the Medal of Honor by Franklin D. Roosevelt ?,HUM
Who murdered Leno and Rosemary LaBianca on August 1,HUM
How many copies of an album must be sold for it to be a gold album ?,NUM
How much will gas be taxed in California by the year 2000 ?,NUM
Which former Ku Klux Klan member won an elected office in the U.S. ?,HUM
How do you make panoramic sugar eggs for Easter - the ones with the scene inside ?,DESC
What is a rhomboideus minor ?,DESC
Where did marijuana come from ?,DESC
When did swimming become commonplace ?,NUM
How many people die from tuberculosis each year ?,NUM
"What is deadrise , nautical , ?",DESC
Who 's the only U.S. president to have won a Pulitzer Prize ?,HUM
"What 1950 film won seven Oscars , including best picture ?",ENTY
What country was Sir Edmund Hillary born in ?,LOC
What is the difference between microprocessors & microcontrollers ?,DESC
What Leon Uris novel dealt with the Russian capture of Berlin ?,ENTY
What Indian tribe is F Troop perpetually doing battle with ?,HUM
What ocean does Mauritania border ?,LOC
What ocean was Amelia Earhart flying over when she disappeared ?,LOC
What comedian hit the TV screen in 1951 with the NBC afternoon show Time for Ernie ?,HUM
What was unusual about Alexandra 's appearance in Josie and the Pussycats ?,DESC
What are the four most widely-used languages in North America ?,ENTY
Who is Shirley MacLaine ?,HUM
How did the bikini bathing suite get its name ?,DESC
What 's the geographic term for the submerged fringe of a continent ?,ENTY
What is SAP ?,ABBR
How do I get another city 's newspaper ?,DESC
What causes the body to shiver in cold temperatures ?,DESC
Where do lobsters like to live ?,LOC
Jude Law was in what movie ?,ENTY
What is the best way to travel in Japan ?,ENTY
How many Israeli athletes were killed at the Munich Olympics ?,NUM
What botanical marvel did Nebuchadnezzar build ?,LOC
How do you identify prime numbers ?,DESC
What does `` antidisestablishmentarianism '' mean ?,DESC
What prompted the co-pilot of the Enola Gay to enter only `` My God '' in his log ?,DESC
What is the origin of the ethnic category `` caucasian '' ?,DESC
Where are all European and American eels born ?,LOC
What tale has the moral : `` He who wants everything gets nothing '' ?,ENTY
Name one of King Henry VIII 's wives .,HUM
What was a California prayer book to an Old West gambler ?,ENTY
What is an isthmus ?,DESC
Name a medicine commonly used to combat AIDS ?,ENTY
What kind of suit did true hepcats wear in 1942 ?,ENTY
What is the difference between fatalism and determinism ?,DESC
"What sun-blasted , 14-mile wide valley is just north of the Mojave desert ?",LOC
What fraction of a beaver 's life is spent swimming ?,NUM
Who 's played the most games for the New York Yankees ?,HUM
How do doctors diagnose bone cancer ?,DESC
What soft drink held a national flavor poll in 1967 ?,ENTY
Who was the prophet of the Muslim people ?,HUM
How does a small businessman contact the Good Humor Ice Cream company to do business with them ?,DESC
What is the origin of the word ` posh ' ?,DESC
"What is Black Hills , South Dakota most famous for ?",DESC
What was an `` Asiento '' ?,DESC
Where in the United States do people live the longest ?,LOC
What ratio of children of ages between two and eleven watch ` The Simpsons ' ?,NUM
What 's the population of Mississippi ?,NUM
Who was the author of `` John Brown 's Body '' ?,HUM
What is the oldest profession ?,HUM
What country boasts Ismail 's Palace and the Palace of King Farouk ?,LOC
Who sued the Dannon yougurt company for using a character named Ron Raider for promotion ?,HUM
Name the ship Beany and Cecil sailed .,ENTY
What famous singing cowboy owns the California Angels baseball team ?,HUM
Where did the sport of caber-tossing originate ?,LOC
What three European countries begin with the letter A ?,LOC
How do I find info about rice importers in the world ?,DESC
What is the origin of the word `` attic '' ?,DESC
What dummy received an honorary degree from Northwestern University ?,HUM
"What was Nine Tailors , the television show from 1974 , about ?",DESC
"Who wrote the bestselling Missionary Travels and Researches in South Africa , published in 1857 ?",HUM
Where is Procter & Gamble based in the U.S. ?,LOC
What are the requirements for becoming a citizen of Australia ?,DESC
Where is Sinn Fein 's headquarters ?,LOC
Which drug is commonly used to treat AIDS ?,ENTY
What color is an Arctic fox in winter ?,ENTY
What is a Certified Nurse Midwife ?,DESC
Why do some people have two different color eyes ?,DESC
How long do hermit crabs live ?,NUM
What does `` Philebus-like '' mean ?,DESC
What is the origin of the word `` amen '' ?,DESC
What is mandibulofacial dysostosis ?,DESC
What does the channel ESPN stand for ?,ABBR
What is the name of Miss India 1994 ?,HUM
What does Las Vegas mean ?,DESC
What is a fear of drinking ?,ENTY
Who played Lucas McCain on The Rifleman ?,HUM
What was the Great Britain population from 1699-172 ?,NUM
What is a fear of being dirty ?,ENTY
What is the most common boy 's or girl 's name ?,HUM
Why is the development of space so important ?,DESC
What significant battle was fought in Belgium in 1815 ?,ENTY
What does a nihilist believe in ?,DESC
In what high-risk business venture did Jimmy the Greek bet and lose ?,HUM
How do you throw a housewarming party ?,DESC
What does snafu stand for ?,ABBR
What is osmosis ?,DESC
Name one of the Seven Wonders of the Ancient World .,ENTY
What record company was formed by Herb Alpert and Jerry Moss ?,HUM
How far do you have to run if you hit a home run ?,NUM
What does the name Melissa mean ?,DESC
What is the only animal that can turn its stomach inside out ?,ENTY
What does Larry King do for a living ?,HUM
What did Thomas Paine write ?,ENTY
What was cash-conscious Colonel Edwin L. Drake the first to drill ?,ENTY
What are the seven seas ?,LOC
Who held the endurance record for women pilots in 1929 ?,HUM
How many grooves are on a dime ?,NUM
"What product `` doubles your pleasure , doubles your fun '' ?",ENTY
How long was the OJ Simpson trial ?,NUM
What European country abandoned postage stamps in 1923 because printing them cost more than their face value ?,LOC
Where can I find examples of legal cases about the Individuals with Disabilities Education Act ?,LOC
How big is the Electoral College ?,NUM
What lake in Scotland is said to hold one or more monsters ?,LOC
Who was the first man to return to space ?,HUM
What former major-league left-handed baseball pitcher was known as `` Space Man '' ?,HUM
What was the name of Darth Vader 's son ?,HUM
The Kentucky Horse Park is close to which American city ?,LOC
What historical event happened in Dogtown in 1899 ?,ENTY
What is the name of Joan Jett 's band ?,HUM
Who was Confucius ?,HUM
What 's the tallest piece on a chessboard ?,ENTY
What ocean surrounds the Maldive Islands ?,LOC
What are the most albums sold by one artist or band ?,ENTY
How do I contact answers.com ?,DESC
When did Rococo painting and architecture flourish ?,NUM
How many dots make up the symbol for `` because '' ?,NUM
What does S.O.S. stand for ?,ABBR
"Name the product that is `` at your grocer 's , at your fingertips . ''",ENTY
What is the origin of the first name ` Breony ' ?,DESC
What is the fastest fish in the world ?,ENTY
Who invented the paper clip ?,HUM
How was Lawrence,DESC
What is Garry Kasparov famous for ?,DESC
Who is the father of the computer ?,HUM
What 's the sacred river of India ?,LOC
What are field effect transistors ?,DESC
What company was the original sponsor of TV 's Superman ?,HUM
What is the fine for having a dog on a beach ?,NUM
Why did the Globe Theatre burn down ?,DESC
How many days does a typical mayfly live ?,NUM
What are the five richest countries in the world ?,LOC
What are the statistics for drunken drivers in Maryland ?,NUM
Where did cable cars first roll down Clay Street in 1873 ?,LOC
What fruit-topped actress was known as The Brazilian Bombshell ?,HUM
What happened in the Long March ?,DESC
What is capitalism according to Max Weber ?,DESC
What European country is home to the beer-producing city of Budweis ?,LOC
What are the names of the different toes ?,ENTY
Where does dew come from ?,LOC
Who is William Wordsworth ?,HUM
How do you become a dentist ?,DESC
Where 's the 19th hole on a golf course ?,LOC
How much did a McDonald 's hamburger cost in 1963 ?,NUM
"What indoor sport saw the Phoenix Inferno become the Phoenix Pride on July 14 , 1983 , when the temperature hit 111 degrees ?",ENTY
Which classical Spanish writer said `` All that glitters is not gold '' ?,HUM
Who is Desmond Tutu ?,HUM
What Caribbean island is northeast of Trinidad ?,LOC
Where is Rider College ?,LOC
What city is the setting for Puccini 's opera La Boheme ?,LOC
What line of luggage is named after a famous American flier ?,ENTY
How can I get someone 's email address ?,DESC
How many words are there in the Spanish language ?,NUM
Why was Curious George curious ?,DESC
What is the highest continent ?,LOC
What does the name Calder mean ?,DESC
"How much does it cost to have a tree planted by dialing , 900 , 740-TREE ?",NUM
How do I find if my relatives were on the Trail of Tears ?,DESC
What was Connecticut 's first constitution called ?,ENTY
Who was the first Taiwanese President ?,HUM
"Who is Karenna Gore , Al Gore 's oldest daughter , married to ?",HUM
What percentage of American men are alcoholic ?,NUM
"What was the name of the first Watergate special prosecutor , later fired by Nixon ?",HUM
What 19th-century writer had a country estate on the Hudson dubbed Sunnyside ?,HUM
What is the difference between a college and a university ?,DESC
What is the world record for the longest hair ?,NUM
What is a fear of slime ?,ENTY
Aspartame is also known as what ?,ENTY
How would someone go about becoming an organ donor ?,DESC
What does the name Gina mean ?,DESC
"What country claimed Rubens , Van Dyck and Bruegel as citizens ?",LOC
What is an example of an actual case of using the Fourteenth Amendment ?,DESC
What do ladybugs eat ?,ENTY
What is a fear of hair ?,ENTY
How many varieties of twins are there ?,NUM
What is the primary language of the Philippines ?,ENTY
What is the Milky Way ?,DESC
"What is the address for the main government office in Rome , Italy ?",LOC
"What 12-hour cold medicine uses the formula `` 6 , 6 , 12 '' in its ads ?",ENTY
CNN began broadcasting in what year ?,NUM
What European country 's monarchy was restored in 1975 ?,LOC
Who were the `` filthiest people alive ? '',HUM
How many Fig Newtons are there to the pound ?,NUM
Where is Romania located ?,LOC
What does idle mean ?,DESC
Which one of the Great Lakes is entirely within U.S. territory ?,LOC
When was Christ born ?,NUM
What was the favorite sport of Tom Wolfe 's The Pump House Gang ?,ENTY
What do penguins eat ?,ENTY
What is Supergirl 's secret identity ?,HUM
"What 's the maximum length , in inches , of a first baseman 's glove ?",NUM
What toy can you make sleep ?,ENTY
Where is the largest post office building in the world ?,LOC
"What famous soldier was born in Europe , died in Asia , and was laid to rest in Africa ?",HUM
How many furlongs are there in a mile-and-a-quarter recetrack ?,NUM
How many quarters equal a pound ?,NUM
What city has the two steepest streets in the U.S. ?,LOC
Which radio stations air the Jim Bohannon Radio Talk Show ?,HUM
How tall was the animated King Kong ?,NUM
What Honeymooners actress did Television magazine name as 1953 's most promising star ?,HUM
What was the highest mountain on earth before Mount Everest was discovered ?,LOC
What do I call the sons and daughters of my first cousins ?,ENTY
What causes tuberculosis ?,DESC
What films featured the character Popeye Doyle ?,ENTY
Which of the following men was not married to Rita Hayworth ?,HUM
What organic fuel do bog-dwellers use a `` slane '' to cut ?,ENTY
How can I register my website in Yahoo for free ?,DESC
What businesses or agencies would do an employment verification ?,HUM
What was the target rate for M3 growth in 1992 ?,NUM
Which operating system runs on IBM-compatible machines ?,ENTY
"When did President Kennedy , Lee Harvey Oswald , and Jack Ruby all die ?",NUM
Why do horseshoes bring luck ?,DESC
"What basketball player is credited with 23 , 924 rebounds ?",HUM
What was the backup singing group for Roy Rogers ?,HUM
Who is the prime minister of Australia ?,HUM
Why do n't you guys have some sort of contest where you ask a question and whoever finds the answers wins a prize ?,DESC
How many bytes are in a terabyte ?,NUM
What causes someone to be ticklish ?,DESC
What police force did Mack Sennett create ?,HUM
What is a biologist ?,DESC
What is a Devo hat ?,DESC
How do you make a computer chip ?,DESC
What was the verdict in the 1925 trial of John T. Scopes ?,DESC
What was originally defined as one 1-millionth of the distance from the equator to the Pole ?,ENTY
Name a ballet company Mikhail Baryshnikov has danced for ?,HUM
What is tyvek ?,DESC
What film dramatized the Scopes monkey trial ?,ENTY
What month were you born in if your birthstone is sardonyx ?,NUM
Who was the first actress to appear on a postage stamp ?,HUM
What is the fastest-growing comic strip of all time ?,ENTY
When is a woman most fertile ?,NUM
What 's the largest island in the West Indies ?,LOC
How is Answers.com funded ?,DESC
What is false consciousness ?,DESC
What does the T.S. stand for in T.S. Eliot 's name ?,ABBR
The name of the actor who played the detective in the film Kindergarden Cop is what ?,HUM
What is Bombay duck ?,DESC
In what county is Eckley Colorado ?,LOC
Where can I find a list of all the companies in America that offer a direct stock purchase plan ?,LOC
Why doesn 't www.answers.com have any answers to my questions ?,DESC
What year was the Avery Dennison company founded ?,NUM
What is the fear of frogs ?,ENTY
"Why is the universe flat , if it started by an explosion , shouldn 't it be a sphere ?",DESC
"What radio , TV and movie character did Jackie Gleason and William Bendix play ?",HUM
What 's the name of the tiger that advertises for Frosted Flakes cereal ?,ENTY
"How much would a black-and-white 1-cent stamp be worth , Thomas Jefferson on it ?",NUM
What 's the common name for a Japanese dwarf tree ?,ENTY
How does the Nintendo `` Zapper '' work ?,DESC
Who were the only two bald U.S. Presidents ?,HUM
What U.S. vice-president said : `` Some newspapers dispose of their garbage by printing it '' ?,HUM
What is money made of ?,ENTY
What is a virtual IP address ?,DESC
"Who was the Columbia Pictures head who forged actor Cliff Robertson 's name on a $1 , 000 check ?",HUM
How many URL extensions are there ? and what are they ?,NUM
How many varieties of apple are there ?,NUM
How tall is kilamanjaro ?,NUM
What are the most common causes of death in the U.S. ?,DESC
What is sound ?,DESC
What is the highest number of home runs on record for any one game ?,NUM
What are all the southern states of the U.S. ?,LOC
How do I legally make my own will and testament ?,DESC
How do hermit crabs reproduce ?,DESC
Where do rocks come from ?,DESC
What 's the biggest-selling U.S. magazine aimed at a black audience ?,ENTY
"What is the latitude and longitude of El Paso , Texas ?",NUM
What class is categorized as the bourgeoisie ?,ENTY
What is the difference between molecules and compounds ?,DESC
What 's the nickname of oddsmaker Jimmy Snyder ?,HUM
"Who sent the brief message `` I came , I saw , I conquered '' ?",HUM
How long does it take the typical hen to lay 19 dozen eggs ?,NUM
What is the definition of spamming ?,DESC
What is the wingspan of a condor ?,NUM
What 2th-century fictional character attends Pencey Prep School ?,HUM
Who headed Hitler 's infamous Gestapo ?,HUM
How many stars are there in Big Dipper ?,NUM
What is the proof that houseplants metabolize carcinogens ?,DESC
What 's the distinction of U.S. Supreme Court Justice Thurgood Marshall ?,DESC
What 's Japan 's largest car manufacturer ?,HUM
What store does Martha Stewart advertise for ?,HUM
What is Jimmy Olsen 's full name ?,HUM
What is the quantity of American soldiers still unaccounted for from the Vietnam war ?,NUM
What direction do the best surfing beaches face ?,LOC
What European race sees the winner of its mountain stage awarded a jersey with large red polka dots ?,ENTY
"Who created Billy Pilgrim , a survivor of the Dresden firestorm ?",HUM
Who released the Internet worm in the late 1980s ?,HUM
"What is the per-capita income of Colombia , South America ?",NUM
What is the most popular last name ?,HUM
How do you find oxidation numbers ?,DESC
On what river is Strasbourg built ?,LOC
What is the longest English word ?,ENTY
What title did Suzette Charles assume for two months in 1984 ?,HUM
What American sergeant lost both of his hands in combat during World War II and then went on to act in a single movie for which he won two Oscars ?,HUM
What new year is celebrated on February 16th ?,ENTY
Who was the first host of Person to Person ?,HUM
"What product is for kids , and not for silly rabbits ?",ENTY
How many elephants are left on earth ?,NUM
What does the abbreviation cwt. ?,ABBR
Where is former Pro wrestler Johnny `` Rubber Man '' Walker ?,LOC
What is a hydrogen bond ?,DESC
What is the poetic meter of blank verse ?,DESC
What cards are bullets ?,ENTY
Who made the most appearances in the center square on Hollywood Squares ?,HUM
Who received the Will Rogers Award in 1989 ?,HUM
"Who wrote the book , `` Song of Solomon '' ?",HUM
What city has the world 's longest subway system ?,LOC
What 's another name for aspartame ?,ENTY
"What future deer hunter portrayed Annie Hall 's neurotic brother , Duane ?",HUM
Who was Israel 's first prime minister ?,HUM
When was Hurricane Hugo ?,NUM
What 's the most popular four-player game of all time ?,ENTY
What Texas surgeon performed the first artificial heart transplant ?,HUM
How many spears are there on Kenya 's flag ?,NUM
What 's the highest possible bid in Contract Bridge ?,ENTY
What is InterLata Internet service ?,DESC
What are the 10 plagues of Egypt ?,ENTY
Who is the leading competitor of Trans Union Company ?,HUM
How many bottles of wine were prisoners in the Bastille allowed per day ?,NUM
What actor was the first man to appear on the cover of McCall 's ?,HUM
What is a fear of shadows ?,ENTY
When was the first steel mill in the United States built ?,NUM
What ethnic group introduced the idea of potlatch ?,HUM
Jackson Pollock was a native of what country ?,LOC
How many feet are there in a fathom ?,NUM
What kind of mammal is a colt ?,ENTY
Name the cartoon genie conjured by the magic ring shared by Nancy and Chuck .,HUM
What predators exist on Antarctica ?,ENTY
What did the forward-thinking Simon Brothers Bakery of Chicago insert into bagels to boost business ?,ENTY
How do they find or choose witnesses to an execution ?,DESC
What are the unemployment statistics for the years 1965 and 1990 ?,NUM
What is the word for love of pain or abuse ?,ENTY
What mountainous region of the world is the Lhasa Apso dog native to ?,LOC
What 's the international radio code word for the letter F ?,ENTY
What is infomatics ?,DESC
What six words follow the line : `` From a jack to a king.. . '' ?,ENTY
What 's the most common nickname of U.S. college football teams ?,HUM
What time of year do most people fly ?,NUM
What 's the name of Pittsburgh 's baseball team ?,HUM
How many months does a normal human pregnancy last ?,NUM
"In order from the top , the four stripes on a can of Pepsi are what colors ?",ENTY
Who was the lawyer who represented Randy Steven Craft ?,HUM
What tennis player has the nickname `` Nasty '' ?,HUM
"What king is satirized in the line : `` The King was in the countinghouse , counting all his money '' ?",HUM
What impenetrable system of French fortifications was built along the German frontier before World War II ?,ENTY
Where did Dikembe Mutombo go to college ?,LOC
What are the powers and weaknesses of Green Lantern 's ring ?,DESC
What 's a `` coup de poing '' to a French boxer ?,DESC
Which country did Hitler rule ?,LOC
What makes hamburgers taste like steakburgers ?,DESC
"What card game has variations called Canfield , Klondike and Spider ?",ENTY
What are geckos ?,DESC
What fraction of a beaver 's life is spent swimming ?,NUM
What organization did Mr. Waverly assign agents for ?,HUM
Who seized power from Milton Obote in 1971 ?,HUM
What flower did Vincent Van Gogh paint ?,ENTY
What was the first Gilbert and Sullivan opera ?,ENTY
How does rabies spread ?,DESC
What actor and actress have made the most movies ?,HUM
What does Choo Choo Charlie say ?,DESC
What is the telephone number for the University of Kentucky ?,NUM
What foods contain vitamin B12 ?,ENTY
Who was the first black to be head coach of a major league pro sports team ?,HUM
What type of exercise burns the most calories ?,ENTY
How much time does the blinking of an eye take ?,NUM
How many people hike ?,NUM
What double talking `` professor '' holds a doctorate in Nothing ?,HUM
Why is the mile 528 feet ?,DESC
What is the C programming language ?,DESC
What are some children 's rights ?,DESC
When was Franklin D. Roosevelt stricken with polio ?,NUM
What is fiber in food ?,DESC
Who built the first successful stern wheel steamboat ?,HUM
What is the origin of head lice ?,DESC
Who portrayed George M. Cohan in 1942 's Yankee Doodle Dandy ?,HUM
How do I register a trade name in North Carolina ?,DESC
What is the origin of music ?,DESC
Where can I find the best free evidence for debate about Russia ?,LOC
Where can I find book reviews of `` Turbulent Souls '' ?,LOC
"What word occurs 46 , 227 times in the Bible ?",ENTY
Who reports the weather on the `` Good Morning America '' television show ?,HUM
Who is Mia Farrow 's mother ?,HUM
"Where is Natchitoches , Louisiana ?",LOC
Which Beatles disc cover honors the Rolling Stones ?,ENTY
What mammal of North America is the world 's longest-lived for its size ?,ENTY
What country does Ileana Cotrubas come from ?,LOC
What is so powerful about Power Bars ?,DESC
What year did Hitler die ?,NUM
"What is the high pitched sound that you hear in your ear every now and then , but then it goes away , after a while ?",ENTY
What was the name of the cook on Rawhide ?,HUM
What is the geographical center of the US including Alaska and Hawaii ?,LOC
